transaction_id,date,hour,household_id,device_id,battery_level_start_pct,battery_level_end_pct,energy_delivered_wh,charge_duration_min,household_kerosene_use_l_this_week,is_simulated_fault_injected
T000001,2025-01-02,16,HH069,DEV0101,37.3,100.0,34.61,251.1,0.85,False
T000002,2025-01-02,19,HH086,DEV0126,38.2,100.0,19.22,127.2,1.66,False
T000003,2025-01-03,19,HH009,DEV0013,24.6,97.3,4.07,23.4,0.87,False
T000004,2025-01-03,16,HH044,DEV0066,18.7,100.0,25.45,128.2,2.63,False
T000005,2025-01-03,15,HH052,DEV0076,17.9,97.8,3.6,26.7,1.49,False
T000006,2025-01-03,19,HH098,DEV0143,24.6,100.0,4.3,28.6,3.05,False
T000007,2025-01-04,18,HH005,DEV0006,8.3,87.4,3.09,21.0,1.71,False
T000008,2025-01-04,14,HH044,DEV0066,26.0,99.9,23.12,135.0,2.56,False
T000009,2025-01-04,15,HH129,DEV0188,5.1,83.5,4.63,23.6,2.41,False
T000010,2025-01-05,16,HH017,DEV0023,22.7,100.0,4.41,21.8,2.71,False
T000011,2025-01-05,12,HH028,DEV0040,27.7,100.0,27.91,173.1,1.49,False
T000012,2025-01-05,14,HH075,DEV0109,33.6,100.0,27.09,121.9,1.57,False
T000013,2025-01-05,15,HH083,DEV0122,38.9,100.0,23.65,101.4,1.51,False
T000014,2025-01-05,19,HH084,DEV0123,11.0,90.2,3.96,21.7,2.93,False
T000015,2025-01-05,16,HH125,DEV0183,34.6,100.0,3.53,17.0,1.42,False
T000016,2025-01-06,12,HH060,DEV0088,27.6,100.0,5.29,33.4,2.75,False
T000017,2025-01-06,14,HH111,DEV0161,12.1,99.2,5.75,39.1,2.46,False
T000018,2025-01-06,13,HH136,DEV0199,20.9,100.0,36.47,226.1,2.0,False
T000019,2025-01-07,16,HH011,DEV0015,38.2,100.0,36.83,180.2,2.46,False
T000020,2025-01-07,18,HH016,DEV0021,23.4,99.5,34.61,152.1,1.55,False
T000021,2025-01-07,19,HH017,DEV0022,28.4,100.0,15.97,103.8,2.8,False
T000022,2025-01-07,12,HH028,DEV0040,39.1,100.0,23.51,146.3,1.65,False
T000023,2025-01-07,19,HH029,DEV0042,12.0,95.1,43.3,277.7,2.18,False
T000024,2025-01-07,16,HH050,DEV0074,7.9,96.1,4.06,21.6,1.77,False
T000025,2025-01-07,13,HH053,DEV0078,38.8,100.0,12.24,62.1,0.73,False
T000026,2025-01-07,16,HH069,DEV0101,22.9,100.0,42.56,246.0,0.86,False
T000027,2025-01-07,16,HH085,DEV0124,7.7,93.4,28.79,186.3,0.37,False
T000028,2025-01-07,18,HH111,DEV0162,26.9,100.0,32.16,156.4,2.35,False
T000029,2025-01-07,14,HH112,DEV0163,20.3,100.0,26.86,178.0,1.53,False
T000030,2025-01-07,16,HH129,DEV0188,37.1,100.0,3.71,20.1,2.25,False
T000031,2025-01-07,13,HH136,DEV0199,22.8,100.0,35.59,223.0,1.94,False
T000032,2025-01-08,15,HH029,DEV0041,39.5,100.0,4.23,22.8,1.81,False
T000033,2025-01-08,15,HH050,DEV0074,29.4,100.0,3.25,14.4,1.8,False
T000034,2025-01-08,17,HH052,DEV0077,8.6,78.1,3.55,20.9,1.28,False
T000035,2025-01-08,15,HH083,DEV0122,26.9,100.0,28.29,179.2,1.51,False
T000036,2025-01-08,17,HH085,DEV0124,9.2,90.1,27.18,132.5,0.34,False
T000037,2025-01-08,16,HH086,DEV0125,28.9,99.1,2.46,12.0,1.28,False
T000038,2025-01-08,18,HH091,DEV0133,33.9,100.0,2.97,17.9,1.84,False
T000039,2025-01-08,19,HH109,DEV0157,8.4,95.7,5.41,29.6,2.2,False
T000040,2025-01-08,19,HH112,DEV0163,30.4,100.0,23.46,153.4,1.44,False
T000041,2025-01-08,16,HH125,DEV0183,23.5,100.0,4.13,18.1,1.3,False
T000042,2025-01-09,14,HH005,DEV0006,20.3,89.6,2.7,14.0,1.78,False
T000043,2025-01-09,18,HH011,DEV0015,38.2,100.0,36.83,181.1,2.4,False
T000044,2025-01-09,13,HH016,DEV0021,38.2,100.0,28.12,122.1,1.3,False
T000045,2025-01-09,14,HH017,DEV0023,27.6,100.0,4.13,19.3,2.47,False
T000046,2025-01-09,14,HH028,DEV0040,10.1,87.2,29.74,135.4,1.49,False
T000047,2025-01-09,13,HH050,DEV0074,34.7,100.0,3.0,15.0,1.92,False
T000048,2025-01-09,14,HH069,DEV0101,18.9,100.0,44.77,280.3,0.81,False
T000049,2025-01-09,13,HH083,DEV0122,38.8,100.0,23.68,107.5,1.35,False
T000050,2025-01-09,14,HH084,DEV0123,37.5,100.0,3.12,21.7,2.32,False
T000051,2025-01-09,18,HH109,DEV0157,9.9,92.5,5.12,23.3,1.99,False
T000052,2025-01-09,16,HH111,DEV0162,20.7,100.0,34.89,250.8,2.15,False
T000053,2025-01-09,13,HH129,DEV0188,7.3,93.1,5.06,31.4,2.12,False
T000054,2025-01-09,16,HH136,DEV0199,31.4,100.0,31.62,162.5,1.68,False
T000055,2025-01-10,12,HH011,DEV0015,14.3,97.5,49.6,369.8,2.45,False
T000056,2025-01-10,16,HH044,DEV0066,26.3,100.0,23.07,134.9,2.44,False
T000057,2025-01-10,14,HH050,DEV0074,25.6,96.9,3.28,16.8,1.71,False
T000058,2025-01-10,15,HH091,DEV0133,36.2,100.0,2.87,14.8,1.87,False
T000059,2025-01-10,16,HH111,DEV0162,6.3,85.6,34.89,195.3,2.11,False
T000060,2025-01-10,15,HH120,DEV0176,29.3,100.0,4.52,21.8,1.52,False
T000061,2025-01-10,19,HH136,DEV0199,28.0,100.0,33.19,219.2,1.53,False
T000062,2025-01-11,17,HH005,DEV0006,27.3,100.0,2.84,18.3,1.61,False
T000063,2025-01-11,13,HH011,DEV0015,6.2,77.8,42.69,219.9,1.94,False
T000064,2025-01-11,15,HH016,DEV0021,7.0,79.1,32.8,169.0,1.31,False
T000065,2025-01-11,14,HH028,DEV0040,29.2,100.0,27.33,130.1,1.42,False
T000066,2025-01-11,16,HH029,DEV0041,27.0,100.0,5.11,33.9,1.84,False
T000067,2025-01-11,16,HH034,DEV0049,19.0,100.0,6.08,27.1,0.94,False
T000068,2025-01-11,19,HH050,DEV0074,22.4,100.0,3.57,16.8,1.82,False
T000069,2025-01-11,19,HH052,DEV0077,34.7,100.0,3.33,18.5,1.25,False
T000070,2025-01-11,18,HH069,DEV0101,27.4,100.0,40.08,184.8,0.76,False
