device_id,household_id,device_type,rated_capacity_wh,install_month_offset
DEV0001,HH001,rechargeable_battery,34.4,8
DEV0002,HH002,rechargeable_battery,56.8,4
DEV0003,HH002,solar_lantern,5.6,2
DEV0004,HH003,rechargeable_battery,39.8,7
DEV0005,HH004,solar_lantern,7.2,7
DEV0006,HH005,solar_lantern,3.9,0
DEV0007,HH006,rechargeable_battery,20.6,3
DEV0008,HH007,solar_lantern,3.8,7
DEV0009,HH007,rechargeable_battery,24.8,4
DEV0010,HH008,rechargeable_battery,50.9,3
DEV0011,HH008,solar_lantern,6.4,1
DEV0012,HH008,solar_lantern,6.2,6
DEV0013,HH009,solar_lantern,5.6,4
DEV0014,HH010,rechargeable_battery,59.6,1
DEV0015,HH011,rechargeable_battery,59.6,5
DEV0016,HH012,solar_lantern,3.4,1
DEV0017,HH013,solar_lantern,5.3,8
DEV0018,HH013,solar_lantern,7.5,1
DEV0019,HH014,solar_lantern,4.5,1
DEV0020,HH015,solar_lantern,3.4,4
DEV0021,HH016,rechargeable_battery,45.5,5
DEV0022,HH017,rechargeable_battery,22.3,5
DEV0023,HH017,solar_lantern,5.7,7
DEV0024,HH018,solar_lantern,6.8,3
DEV0025,HH018,rechargeable_battery,40.2,3
DEV0026,HH019,rechargeable_battery,33.6,8
DEV0027,HH020,solar_lantern,3.5,0
DEV0028,HH021,rechargeable_battery,27.1,3
DEV0029,HH021,solar_lantern,4.0,2
DEV0030,HH022,solar_lantern,4.5,0
DEV0031,HH022,rechargeable_battery,20.3,3
DEV0032,HH023,rechargeable_battery,59.3,2
DEV0033,HH023,rechargeable_battery,39.1,8
DEV0034,HH024,rechargeable_battery,58.5,6
DEV0035,HH024,rechargeable_battery,54.7,0
DEV0036,HH025,solar_lantern,5.8,1
DEV0037,HH025,rechargeable_battery,58.8,0
DEV0038,HH026,rechargeable_battery,50.0,8
DEV0039,HH027,solar_lantern,3.2,4
DEV0040,HH028,rechargeable_battery,38.6,6
DEV0041,HH029,solar_lantern,7.0,5
DEV0042,HH029,rechargeable_battery,52.1,0
DEV0043,HH029,rechargeable_battery,52.9,2
DEV0044,HH030,solar_lantern,3.5,0
DEV0045,HH031,rechargeable_battery,50.9,0
DEV0046,HH031,rechargeable_battery,52.0,7
