household_id,household_size,distance_to_hub_km,join_date,baseline_kerosene_l_per_week
HH001,3,4.3,2025-03-26,1.17
HH002,5,3.6,2025-03-23,2.21
HH003,6,1.4,2025-03-25,2.34
HH004,5,4.9,2025-01-10,0.83
HH005,5,4.4,2025-01-04,1.87
HH006,8,4.5,2025-02-20,2.83
HH007,3,1.0,2025-02-19,1.22
HH008,6,1.0,2025-04-20,2.75
HH009,5,5.6,2025-01-03,0.92
HH010,5,2.6,2025-02-06,1.51
HH011,7,2.0,2025-01-03,2.69
HH012,3,3.1,2025-02-08,0.42
HH013,8,4.1,2025-03-02,3.39
HH014,4,5.7,2025-01-14,1.55
HH015,5,1.9,2025-02-13,2.09
HH016,5,5.6,2025-01-06,1.52
HH017,7,0.4,2025-01-04,2.78
HH018,5,3.5,2025-01-12,2.18
HH019,3,3.9,2025-02-01,1.14
HH020,2,0.9,2025-01-15,0.79
HH021,4,1.1,2025-02-13,1.51
HH022,7,2.7,2025-01-08,2.1
HH023,2,5.8,2025-03-06,0.64
HH024,8,3.7,2025-02-12,2.74
HH025,5,5.6,2025-01-23,1.9
HH026,2,4.9,2025-01-15,1.1
HH027,4,3.0,2025-01-16,0.98
HH028,5,4.8,2025-01-03,1.7
HH029,4,0.4,2025-01-07,1.99
HH030,2,0.9,2025-01-24,0.4
HH031,6,5.0,2025-01-14,1.77
HH032,6,4.8,2025-02-14,2.18
HH033,2,1.6,2025-01-25,1.04
HH034,3,3.3,2025-01-09,1.05
HH035,3,3.8,2025-01-17,1.58
HH036,6,5.2,2025-01-23,2.44
HH037,7,3.7,2025-01-13,2.79
HH038,7,2.7,2025-01-12,2.67
HH039,8,2.4,2025-01-31,3.73
HH040,7,2.7,2025-01-11,2.37
HH041,4,4.0,2025-02-16,0.6
HH042,2,5.2,2025-02-18,1.34
HH043,6,2.9,2025-02-07,1.92
HH044,8,1.7,2025-01-03,2.84
HH045,8,1.6,2025-02-09,3.32
HH046,3,4.6,2025-02-17,0.41
HH047,3,5.0,2025-02-09,0.55
HH048,2,0.9,2025-01-10,0.3
HH049,2,0.7,2025-01-12,0.38
HH050,5,3.7,2025-01-06,1.93
HH051,5,1.1,2025-01-13,1.96
HH052,4,5.0,2025-01-01,1.51
HH053,4,2.1,2025-01-06,0.83
HH054,7,1.1,2025-02-16,1.53
HH055,5,5.5,2025-05-01,1.77
HH056,7,1.2,2025-01-20,2.26
HH057,8,1.9,2025-01-10,2.98
HH058,4,1.2,2025-01-14,1.68
HH059,3,1.0,2025-01-13,1.11
HH060,8,0.4,2025-01-05,3.1
HH061,6,0.6,2025-02-07,2.19
HH062,4,1.3,2025-02-18,1.61
HH063,6,0.6,2025-02-22,1.82
HH064,5,3.7,2025-05-01,1.68
HH065,8,4.2,2025-03-15,2.88
HH066,3,2.5,2025-02-27,1.38
HH067,8,2.1,2025-02-06,2.64
HH068,8,3.2,2025-01-21,3.01
HH069,3,5.3,2025-01-02,0.94
HH070,3,5.2,2025-02-03,1.0
HH071,5,0.5,2025-01-22,2.08
HH072,2,1.3,2025-02-22,0.3
HH073,4,1.6,2025-03-12,0.88
HH074,5,1.7,2025-01-12,1.16
HH075,8,3.6,2025-01-02,1.87
HH076,8,2.7,2025-02-02,2.53
HH077,3,0.6,2025-03-31,1.35
HH078,8,2.4,2025-01-29,2.69
HH079,2,3.3,2025-03-16,0.78
HH080,7,0.9,2025-01-27,2.89
HH081,7,5.1,2025-02-15,2.98
HH082,8,0.6,2025-01-11,2.77
HH083,3,5.6,2025-01-05,1.59
HH084,8,0.9,2025-01-05,2.84
HH085,2,5.1,2025-01-05,0.37
HH086,5,5.4,2025-01-02,1.51
HH087,5,5.9,2025-03-02,1.16
HH088,4,4.9,2025-01-16,1.04
HH089,2,4.7,2025-01-14,0.56
HH090,7,4.0,2025-02-02,2.77
HH091,4,4.7,2025-01-07,2.09
HH092,6,1.1,2025-03-09,1.55
HH093,4,3.4,2025-02-15,1.56
HH094,4,3.2,2025-01-12,0.98
HH095,8,5.2,2025-01-08,2.99
HH096,2,2.9,2025-01-19,0.65
HH097,7,2.5,2025-01-11,1.72
HH098,7,3.9,2025-01-03,2.82
HH099,4,1.8,2025-01-18,1.16
HH100,3,1.1,2025-03-20,0.84
HH101,2,3.0,2025-02-05,0.3
HH102,8,2.7,2025-04-18,2.54
HH103,8,1.6,2025-03-13,2.97
HH104,3,2.4,2025-02-09,0.97
HH105,2,2.4,2025-03-06,0.83
HH106,2,2.2,2025-01-26,0.84
HH107,2,2.5,2025-02-07,1.23
HH108,7,4.2,2025-01-14,2.31
HH109,8,2.0,2025-01-08,2.21
HH110,3,5.7,2025-03-17,1.48
HH111,7,5.5,2025-01-05,2.32
HH112,3,3.0,2025-01-07,1.5
HH113,4,2.2,2025-01-11,1.55
HH114,6,3.4,2025-02-03,2.05
HH115,7,5.1,2025-01-15,2.59
HH116,8,4.0,2025-01-24,3.58
HH117,2,4.9,2025-03-17,1.53
HH118,3,3.3,2025-02-23,1.08
HH119,3,3.9,2025-02-10,1.11
HH120,4,1.9,2025-01-06,1.83
HH121,8,4.5,2025-02-11,2.46
HH122,7,1.5,2025-01-16,2.58
HH123,4,4.3,2025-01-05,1.39
HH124,8,5.2,2025-01-14,2.93
HH125,5,1.1,2025-01-03,1.42
HH126,5,3.8,2025-02-02,1.11
HH127,5,0.8,2025-02-04,0.92
HH128,3,4.4,2025-01-11,0.6
HH129,8,0.8,2025-01-02,2.62
HH130,2,5.6,2025-04-06,0.58
HH131,3,1.1,2025-01-29,1.82
HH132,3,5.8,2025-02-22,1.49
HH133,3,4.9,2025-01-13,0.67
HH134,2,3.7,2025-02-28,0.84
HH135,2,4.8,2025-02-27,0.54
HH136,6,4.8,2025-01-04,1.99
HH137,8,5.7,2025-05-01,2.87
HH138,2,1.7,2025-01-24,0.95
HH139,4,3.7,2025-02-18,1.26
HH140,5,0.8,2025-01-09,2.18
