date,hour,weather_condition,temperature_c,solar_generation_wh,energy_consumed_wh,battery_bank_level_wh,battery_bank_level_pct
2025-01-01,6,sunny,28.7,0.0,148.4,11851.6,59.3
2025-01-01,7,sunny,28.7,987.0,249.9,12588.7,62.9
2025-01-01,8,sunny,28.7,1895.5,500.8,13983.4,69.9
2025-01-01,9,sunny,28.7,3053.7,542.1,16495.0,82.5
2025-01-01,10,sunny,28.7,3721.4,560.0,19656.4,98.3
2025-01-01,11,sunny,28.7,3920.2,258.1,20000.0,100.0
2025-01-01,12,sunny,28.7,4629.6,161.2,20000.0,100.0
2025-01-01,13,sunny,28.7,4412.4,109.7,20000.0,100.0
2025-01-01,14,sunny,28.7,3872.4,91.7,20000.0,100.0
2025-01-01,15,sunny,28.7,3769.2,118.4,20000.0,100.0
2025-01-01,16,sunny,28.7,3043.6,289.6,20000.0,100.0
2025-01-01,17,sunny,28.7,2132.3,625.0,20000.0,100.0
2025-01-01,18,sunny,28.7,1035.9,774.7,20000.0,100.0
2025-01-01,19,sunny,28.7,0.0,679.4,19320.6,96.6
2025-01-02,6,sunny,27.7,0.0,134.2,19186.4,95.9
2025-01-02,7,sunny,27.7,1169.8,283.3,20000.0,100.0
2025-01-02,8,sunny,27.7,2327.3,460.6,20000.0,100.0
2025-01-02,9,sunny,27.7,3160.9,628.0,20000.0,100.0
2025-01-02,10,sunny,27.7,3769.2,575.0,20000.0,100.0
2025-01-02,11,sunny,27.7,4672.6,324.9,20000.0,100.0
2025-01-02,12,sunny,27.7,4403.9,136.3,20000.0,100.0
2025-01-02,13,sunny,27.7,4733.7,94.9,20000.0,100.0
2025-01-02,14,sunny,27.7,4511.3,97.8,20000.0,100.0
2025-01-02,15,sunny,27.7,3862.4,142.0,20000.0,100.0
2025-01-02,16,sunny,27.7,3187.9,251.3,20000.0,100.0
2025-01-02,17,sunny,27.7,2014.1,659.0,20000.0,100.0
2025-01-02,18,sunny,27.7,1112.0,794.8,20000.0,100.0
2025-01-02,19,sunny,27.7,0.0,689.0,19311.0,96.6
2025-01-03,6,sunny,25.9,0.0,140.2,19170.8,95.9
2025-01-03,7,sunny,25.9,903.7,279.3,19795.2,99.0
2025-01-03,8,sunny,25.9,1766.2,550.9,20000.0,100.0
2025-01-03,9,sunny,25.9,2329.0,548.9,20000.0,100.0
2025-01-03,10,sunny,25.9,2960.1,585.1,20000.0,100.0
2025-01-03,11,sunny,25.9,3598.1,266.7,20000.0,100.0
2025-01-03,12,sunny,25.9,3960.3,149.2,20000.0,100.0
2025-01-03,13,sunny,25.9,3722.2,115.9,20000.0,100.0
2025-01-03,14,sunny,25.9,3280.4,88.7,20000.0,100.0
2025-01-03,15,sunny,25.9,3138.1,118.9,20000.0,100.0
2025-01-03,16,sunny,25.9,2564.5,271.0,20000.0,100.0
2025-01-03,17,sunny,25.9,1641.1,590.4,20000.0,100.0
2025-01-03,18,sunny,25.9,889.9,782.7,20000.0,100.0
2025-01-03,19,sunny,25.9,0.0,717.3,19282.7,96.4
2025-01-04,6,sunny,25.9,0.0,145.8,19136.9,95.7
2025-01-04,7,sunny,25.9,951.4,309.3,19779.0,98.9
2025-01-04,8,sunny,25.9,1829.9,591.1,20000.0,100.0
2025-01-04,9,sunny,25.9,2915.9,574.9,20000.0,100.0
2025-01-04,10,sunny,25.9,3189.4,468.4,20000.0,100.0
2025-01-04,11,sunny,25.9,3927.5,265.4,20000.0,100.0
2025-01-04,12,sunny,25.9,4316.5,164.0,20000.0,100.0
2025-01-04,13,sunny,25.9,4295.9,104.6,20000.0,100.0
2025-01-04,14,sunny,25.9,4151.2,84.8,20000.0,100.0
2025-01-04,15,sunny,25.9,3342.9,125.4,20000.0,100.0
2025-01-04,16,sunny,25.9,2923.9,306.9,20000.0,100.0
2025-01-04,17,sunny,25.9,2007.1,590.3,20000.0,100.0
2025-01-04,18,sunny,25.9,1059.8,877.0,20000.0,100.0
2025-01-04,19,sunny,25.9,0.0,747.6,19252.4,96.3
2025-01-05,6,sunny,27.5,0.0,137.0,19115.4,95.6
2025-01-05,7,sunny,27.5,1028.9,275.0,19869.3,99.3
2025-01-05,8,sunny,27.5,1929.2,594.6,20000.0,100.0
2025-01-05,9,sunny,27.5,2972.1,633.1,20000.0,100.0
2025-01-05,10,sunny,27.5,3587.5,524.8,20000.0,100.0
2025-01-05,11,sunny,27.5,4218.6,341.7,20000.0,100.0
2025-01-05,12,sunny,27.5,4681.2,149.2,20000.0,100.0
2025-01-05,13,sunny,27.5,4273.7,103.5,20000.0,100.0
2025-01-05,14,sunny,27.5,4177.1,98.2,20000.0,100.0
2025-01-05,15,sunny,27.5,3727.5,136.2,20000.0,100.0
2025-01-05,16,sunny,27.5,2851.0,289.5,20000.0,100.0
2025-01-05,17,sunny,27.5,2016.3,582.3,20000.0,100.0
2025-01-05,18,sunny,27.5,1003.7,947.2,20000.0,100.0
2025-01-05,19,sunny,27.5,0.0,606.1,19393.9,97.0
2025-01-06,6,sunny,26.9,0.0,171.3,19222.6,96.1
2025-01-06,7,sunny,26.9,1074.6,315.4,19981.8,99.9
2025-01-06,8,sunny,26.9,2008.8,469.3,20000.0,100.0
2025-01-06,9,sunny,26.9,2985.3,647.3,20000.0,100.0
2025-01-06,10,sunny,26.9,3693.4,554.9,20000.0,100.0
2025-01-06,11,sunny,26.9,3639.1,264.0,20000.0,100.0
2025-01-06,12,sunny,26.9,4298.5,158.9,20000.0,100.0
2025-01-06,13,sunny,26.9,3877.7,114.0,20000.0,100.0
2025-01-06,14,sunny,26.9,4152.7,100.4,20000.0,100.0
2025-01-06,15,sunny,26.9,3449.1,115.5,20000.0,100.0
2025-01-06,16,sunny,26.9,2917.0,291.5,20000.0,100.0
2025-01-06,17,sunny,26.9,2072.0,645.2,20000.0,100.0
2025-01-06,18,sunny,26.9,1018.4,836.3,20000.0,100.0
2025-01-06,19,sunny,26.9,0.0,726.0,19274.0,96.4
2025-01-07,6,cloudy,24.4,0.0,179.7,19094.3,95.5
2025-01-07,7,cloudy,24.4,897.8,281.0,19711.1,98.6
2025-01-07,8,cloudy,24.4,1677.0,610.6,20000.0,100.0
2025-01-07,9,cloudy,24.4,2313.2,595.7,20000.0,100.0
2025-01-07,10,cloudy,24.4,3067.5,545.4,20000.0,100.0
2025-01-07,11,cloudy,24.4,3358.9,354.9,20000.0,100.0
2025-01-07,12,cloudy,24.4,3589.4,154.3,20000.0,100.0
2025-01-07,13,cloudy,24.4,3460.5,104.8,20000.0,100.0
2025-01-07,14,cloudy,24.4,3130.7,110.7,20000.0,100.0
2025-01-07,15,cloudy,24.4,3079.5,128.3,20000.0,100.0
2025-01-07,16,cloudy,24.4,2287.6,345.6,20000.0,100.0
2025-01-07,17,cloudy,24.4,1532.0,682.7,20000.0,100.0
2025-01-07,18,cloudy,24.4,846.5,960.5,19886.0,99.4
2025-01-07,19,cloudy,24.4,0.0,712.8,19173.2,95.9
2025-01-08,6,sunny,24.7,0.0,157.8,19015.4,95.1
2025-01-08,7,sunny,24.7,1051.5,286.7,19780.2,98.9
2025-01-08,8,sunny,24.7,1922.1,502.8,20000.0,100.0
2025-01-08,9,sunny,24.7,2834.1,601.7,20000.0,100.0
2025-01-08,10,sunny,24.7,3851.7,538.9,20000.0,100.0
2025-01-08,11,sunny,24.7,4288.9,358.2,20000.0,100.0
2025-01-08,12,sunny,24.7,4066.5,166.9,20000.0,100.0
2025-01-08,13,sunny,24.7,4595.3,113.1,20000.0,100.0
2025-01-08,14,sunny,24.7,4049.6,100.7,20000.0,100.0
2025-01-08,15,sunny,24.7,3346.4,140.2,20000.0,100.0
2025-01-08,16,sunny,24.7,3124.2,357.5,20000.0,100.0
2025-01-08,17,sunny,24.7,1891.1,728.7,20000.0,100.0
2025-01-08,18,sunny,24.7,1016.0,1030.2,19985.8,99.9
2025-01-08,19,sunny,24.7,0.0,776.0,19209.8,96.0
2025-01-09,6,sunny,27.5,0.0,144.8,19065.0,95.3
2025-01-09,7,sunny,27.5,934.4,356.7,19642.7,98.2
2025-01-09,8,sunny,27.5,1823.6,543.7,20000.0,100.0
2025-01-09,9,sunny,27.5,2553.6,601.5,20000.0,100.0
2025-01-09,10,sunny,27.5,3426.7,529.1,20000.0,100.0
2025-01-09,11,sunny,27.5,3457.8,296.8,20000.0,100.0
2025-01-09,12,sunny,27.5,4130.8,141.8,20000.0,100.0
2025-01-09,13,sunny,27.5,4073.2,116.8,20000.0,100.0
2025-01-09,14,sunny,27.5,3815.7,118.9,20000.0,100.0
2025-01-09,15,sunny,27.5,3364.4,159.0,20000.0,100.0
2025-01-09,16,sunny,27.5,2427.5,346.1,20000.0,100.0
2025-01-09,17,sunny,27.5,1817.5,703.1,20000.0,100.0
2025-01-09,18,sunny,27.5,986.5,1061.1,19925.4,99.6
2025-01-09,19,sunny,27.5,0.0,690.5,19234.9,96.2
2025-01-10,6,sunny,26.8,0.0,157.9,19077.0,95.4
2025-01-10,7,sunny,26.8,956.0,280.1,19752.9,98.8
2025-01-10,8,sunny,26.8,2066.8,558.1,20000.0,100.0
2025-01-10,9,sunny,26.8,3014.7,723.6,20000.0,100.0
2025-01-10,10,sunny,26.8,3258.0,509.0,20000.0,100.0
2025-01-10,11,sunny,26.8,3806.2,366.5,20000.0,100.0
2025-01-10,12,sunny,26.8,4049.4,164.0,20000.0,100.0
2025-01-10,13,sunny,26.8,4516.6,127.1,20000.0,100.0
2025-01-10,14,sunny,26.8,3824.9,91.0,20000.0,100.0
2025-01-10,15,sunny,26.8,3322.0,123.3,20000.0,100.0
2025-01-10,16,sunny,26.8,2694.7,328.0,20000.0,100.0
2025-01-10,17,sunny,26.8,2107.2,709.7,20000.0,100.0
2025-01-10,18,sunny,26.8,1040.1,855.9,20000.0,100.0
2025-01-10,19,sunny,26.8,0.0,726.7,19273.3,96.4
2025-01-11,6,sunny,28.9,0.0,144.8,19128.5,95.6
2025-01-11,7,sunny,28.9,865.6,318.2,19675.9,98.4
2025-01-11,8,sunny,28.9,1875.1,552.6,20000.0,100.0
2025-01-11,9,sunny,28.9,2608.3,716.4,20000.0,100.0
2025-01-11,10,sunny,28.9,2955.9,542.7,20000.0,100.0
2025-01-11,11,sunny,28.9,3613.8,341.1,20000.0,100.0
2025-01-11,12,sunny,28.9,3710.9,151.6,20000.0,100.0
2025-01-11,13,sunny,28.9,3876.4,101.3,20000.0,100.0
2025-01-11,14,sunny,28.9,3767.8,96.4,20000.0,100.0
2025-01-11,15,sunny,28.9,2919.9,143.4,20000.0,100.0
2025-01-11,16,sunny,28.9,2511.5,325.8,20000.0,100.0
2025-01-11,17,sunny,28.9,1737.7,815.0,20000.0,100.0
2025-01-11,18,sunny,28.9,901.8,944.2,19957.6,99.8
2025-01-11,19,sunny,28.9,0.0,617.5,19340.1,96.7
2025-01-12,6,sunny,29.2,0.0,144.4,19195.7,96.0
2025-01-12,7,sunny,29.2,988.4,324.8,19859.3,99.3
2025-01-12,8,sunny,29.2,1896.0,575.6,20000.0,100.0
2025-01-12,9,sunny,29.2,2377.3,784.7,20000.0,100.0
2025-01-12,10,sunny,29.2,3236.6,628.9,20000.0,100.0
2025-01-12,11,sunny,29.2,3555.5,341.4,20000.0,100.0
2025-01-12,12,sunny,29.2,4026.3,173.4,20000.0,100.0
2025-01-12,13,sunny,29.2,3727.6,119.2,20000.0,100.0
2025-01-12,14,sunny,29.2,3690.3,122.4,20000.0,100.0
2025-01-12,15,sunny,29.2,3101.6,141.8,20000.0,100.0
2025-01-12,16,sunny,29.2,2672.2,329.1,20000.0,100.0
2025-01-12,17,sunny,29.2,1852.0,708.8,20000.0,100.0
