household_id,household_size,distance_to_hub_km,join_date,baseline_kerosene_l_per_week,current_kerosene_l_per_week,kerosene_avoided_l_per_week,co2e_avoided_kg_per_week,kerosene_avoided_l_annualised_estimate,co2e_avoided_kg_annualised_estimate
HH001,3,4.3,2025-03-26,1.17,0.24,0.9299999999999999,2.3436,48.36,121.8672
HH002,5,3.6,2025-03-23,2.21,0.56,1.65,4.1579999999999995,85.8,216.21599999999998
HH003,6,1.4,2025-03-25,2.34,0.53,1.8099999999999998,4.5611999999999995,94.11999999999999,237.18239999999997
HH004,5,4.9,2025-01-10,0.83,0.16,0.6699999999999999,1.6884,34.839999999999996,87.79679999999999
HH005,5,4.4,2025-01-04,1.87,0.34,1.53,3.8556,79.56,200.4912
HH006,8,4.5,2025-02-20,2.83,0.44,2.39,6.0228,124.28,313.1856
HH007,3,1.0,2025-02-19,1.22,0.39,0.83,2.0916,43.16,108.76320000000001
HH008,6,1.0,2025-04-20,2.75,0.81,1.94,4.8888,100.88,254.2176
HH009,5,5.6,2025-01-03,0.92,0.15,0.77,1.9404000000000001,40.04,100.9008
HH010,5,2.6,2025-02-06,1.51,0.3,1.21,3.0492,62.92,158.5584
HH011,7,2.0,2025-01-03,2.69,0.68,2.01,5.0652,104.51999999999998,263.3904
HH012,3,3.1,2025-02-08,0.42,0.12,0.3,0.756,15.6,39.312
HH013,8,4.1,2025-03-02,3.39,0.63,2.7600000000000002,6.9552000000000005,143.52,361.67040000000003
HH014,4,5.7,2025-01-14,1.55,0.25,1.3,3.2760000000000002,67.60000000000001,170.352
HH015,5,1.9,2025-02-13,2.09,0.54,1.5499999999999998,3.9059999999999997,80.6,203.112
HH016,5,5.6,2025-01-06,1.52,0.32,1.2,3.024,62.4,157.248
HH017,7,0.4,2025-01-04,2.78,0.71,2.07,5.216399999999999,107.63999999999999,271.2528
HH018,5,3.5,2025-01-12,2.18,0.57,1.6100000000000003,4.057200000000001,83.72000000000001,210.97440000000003
HH019,3,3.9,2025-02-01,1.14,0.19,0.95,2.3939999999999997,49.4,124.48799999999999
HH020,2,0.9,2025-01-15,0.79,0.17,0.62,1.5624,32.24,81.2448
HH021,4,1.1,2025-02-13,1.51,0.4,1.1099999999999999,2.7971999999999997,57.71999999999999,145.4544
HH022,7,2.7,2025-01-08,2.1,0.47,1.6300000000000001,4.107600000000001,84.76,213.59520000000003
HH023,2,5.8,2025-03-06,0.64,0.15,0.49,1.2348,25.48,64.2096
HH024,8,3.7,2025-02-12,2.74,0.73,2.0100000000000002,5.065200000000001,104.52000000000001,263.39040000000006
HH025,5,5.6,2025-01-23,1.9,0.47,1.43,3.6035999999999997,74.36,187.38719999999998
HH026,2,4.9,2025-01-15,1.1,0.2,0.9000000000000001,2.2680000000000002,46.800000000000004,117.936
HH027,4,3.0,2025-01-16,0.98,0.25,0.73,1.8396,37.96,95.6592
HH028,5,4.8,2025-01-03,1.7,0.41,1.29,3.2508,67.08,169.0416
HH029,4,0.4,2025-01-07,1.99,0.52,1.47,3.7044,76.44,192.6288
HH030,2,0.9,2025-01-24,0.4,0.07,0.33,0.8316,17.16,43.2432
HH031,6,5.0,2025-01-14,1.77,0.41,1.36,3.4272000000000005,70.72,178.2144
HH032,6,4.8,2025-02-14,2.18,0.43,1.7500000000000002,4.410000000000001,91.00000000000001,229.32000000000005
HH033,2,1.6,2025-01-25,1.04,0.19,0.8500000000000001,2.1420000000000003,44.2,111.38400000000001
HH034,3,3.3,2025-01-09,1.05,0.33,0.72,1.8144,37.44,94.3488
HH035,3,3.8,2025-01-17,1.58,0.39,1.19,2.9987999999999997,61.879999999999995,155.93759999999997
HH036,6,5.2,2025-01-23,2.44,0.35,2.09,5.2668,108.67999999999999,273.8736
HH037,7,3.7,2025-01-13,2.79,0.82,1.9700000000000002,4.9644,102.44000000000001,258.1488
HH038,7,2.7,2025-01-12,2.67,0.69,1.98,4.9896,102.96,259.4592
HH039,8,2.4,2025-01-31,3.73,0.81,2.92,7.3584,151.84,382.6368
HH040,7,2.7,2025-01-11,2.37,0.59,1.7800000000000002,4.485600000000001,92.56000000000002,233.25120000000004
HH041,4,4.0,2025-02-16,0.6,0.12,0.48,1.2096,24.96,62.8992
HH042,2,5.2,2025-02-18,1.34,0.24,1.1,2.7720000000000002,57.2,144.144
HH043,6,2.9,2025-02-07,1.92,0.44,1.48,3.7296,76.96,193.9392
HH044,8,1.7,2025-01-03,2.84,0.86,1.98,4.9896,102.96,259.4592
HH045,8,1.6,2025-02-09,3.32,0.74,2.58,6.5016,134.16,338.0832
HH046,3,4.6,2025-02-17,0.41,0.08,0.32999999999999996,0.8315999999999999,17.159999999999997,43.243199999999995
HH047,3,5.0,2025-02-09,0.55,0.15,0.4,1.008,20.8,52.416
HH048,2,0.9,2025-01-10,0.3,0.07,0.22999999999999998,0.5796,11.959999999999999,30.1392
